id,rank,name,symbol,supply,maxSupply,marketCapUsd,volumeUsd24Hr,priceUsd,changePercent24Hr
klaytn,65,Klaytn,KLAY,3803678791.7692375000000000,,485377691.0974182787317571,4021321.4112555862452561,0.1276074341891657,-2.2195425943655712
zcash,66,Zcash,ZEC,16328268.7500000000000000,21000000.0000000000000000,476303911.8706536908700956,44898746.5137447673080931,29.1705090823332811,-3.0891089530249448
mina,67,Mina,MINA,1153555756.8400393000000000,,474822850.4925493793093040,3331020.9722551941079661,0.4116167317245610,-3.7768425970140242
mantra-dao,68,MANTRA DAO,OM,500205033.1781248500000000,888888888.0000000000000000,452674336.2164968907417109,7453657.3381229740406598,0.9049775715777292,-7.7221826019460194
chiliz,69,Chiliz,CHZ,9038470294.0000000000000000,,449657320.3572622384193646,7607110.7484667972709725,0.0497492723581509,-3.4571368305170958
pancakeswap,70,PancakeSwap,CAKE,264613438.3924228500000000,450000000.0000000000000000,433067040.2458526001613593,6222605.2645189810377988,1.6366025961372844,-3.2924028901307031
ftx-token,71,FTX Token,FTT,328895103.8132070000000000,,432677742.6507469954720610,4459369.6371449731966285,1.3155493579390054,-3.1775801172340248
pendle,72,Pendle,PENDLE,158217101.5803990000000000,,427573031.6693272572843549,734630.6153365045123206,2.7024451048488799,-6.6971897502757498
dexe,73,DeXe,DEXE,57103247.5232684700000000,98942301.0000000000000000,417134227.3849479204702223,362843.1290611844148718,7.3049125133377709,-2.9791848397814378
aioz-network,74,AIOZ Network,AIOZ,1119725289.0966969000000000,,414268693.8245343042885881,463805.4930287768679345,0.3699735085547032,-4.8479963934498201
fei-protocol,75,Fei Protocol,FEI,424996177.7889055600000000,,413285474.0153843503750369,104831.8729629888451395,0.9724451550730466,0.0099483660162067
iota,76,IOTA,IOTA,3420882505.0000000000000000,,411105118.9186991220492670,2651129.1986490134477061,0.1201751648347534,-3.3045006961051185
livepeer,77,Livepeer,LPT,34332793.2555642300000000,,385619065.4947774084188966,7751054.3919303015863065,11.2317999477738704,-4.4864829225128249
raydium,78,Raydium,RAY,263758641.3905770000000000,,384708539.3592096196029951,2834263.9036404624219510,1.4585627880510976,-3.7513103726820341
gnosis-gno,79,Gnosis,GNO,2589588.0000000000000000,3000000.0000000000000000,381579147.2666276216831196,5577854.5224210579030734,147.3512957530802667,-4.3970400996909452
oasis-network,80,Oasis,ROSE,7064132681.0000000000000000,,366401258.3255780849664354,2683368.4604291309619971,0.0518678335857234,-3.0163696031106042
compound,81,Compound,COMP,8678198.7697687500000000,,365292597.8358098025424651,13509559.9383853874247064,42.0931356295200231,-5.5975331595708577
nxm,82,NXM,NXM,6594067.8412913900000000,,357726314.8959681197071764,742238.8571252871801092,54.2497170951020391,-3.7455074884233419
theta-fuel,83,Theta Fuel,TFUEL,6671031205.0000000000000000,,353671439.5377151724683475,692411.8744915360082235,0.0530160073711895,-2.4833091514234127
nervos-network,84,Nervos Network,CKB,44880174980.2645400000000000,,352936840.7956239576619497,9035970.9748645302438462,0.0078639809437201,-4.4624033639560118
trust-wallet-token,85,Trust Wallet Token,TWT,416649900.0000000000000000,,342649219.7593163293280100,896191.2369837330145384,0.8223912204450699,0.0391681769797441
curve-dao-token,86,Curve DAO Token,CRV,1191466215.0000000000000000,,333154190.5983826635977955,10305445.8690499635592432,0.2796169848579237,-4.1688517735623267
1inch,87,1inch Network,1INCH,1257301289.4936550000000000,,319881667.0949442652409615,27140932.5386605297554159,0.2544192627240271,-7.4428579584603536
kava,88,Kava,KAVA,1082854748.0000000000000000,,310656619.1978465324035164,2811116.6858996127093203,0.2868866944265793,-3.3675462677885324
iotex,89,IoTeX,IOTX,9441372454.0000000000000000,10000000000.0000000000000000,309475808.5598873305530722,1786494.9305245647185943,0.0327786886988843,-3.7100917023647933
xinfin-network,90,XinFin Network,XDC,12293293518.5500000000000000,,307796196.8552826385845070,550680.1043144294521902,0.0250377326784586,-1.5004395753612513
superfarm,91,SuperVerse,SUPER,487976093.4169172600000000,1000000000.0000000000000000,303651803.1485557842621787,3713427.0530766236791649,0.6222677857481055,-3.4374205856084059
synthetix-network-token,92,Synthetix,SNX,233716733.4900000000000000,212424133.0000000000000000,298258184.0110048634405838,6727227.6512501061334132,1.2761524583936836,-7.6450420100616919
amp,93,Amp,AMP,80722574661.2915300000000000,,295904251.7951068473407848,290017.6106447615026379,0.0036656939280828,-2.5860852147275234
dash,94,Dash,DASH,11945045.8382010500000000,18900000.0000000000000000,284571903.4020064636854787,14431425.4810503019349363,23.8234249794108462,-1.1787369672684551
just,95,JUST,JST,9900000000.0000000000000000,9900000000.0000000000000000,281177852.3204220900000000,3239217.0035908768229975,0.0284018032646891,-1.4454288272023812
kusama,96,Kusama,KSM,15425048.7394137500000000,,267875328.1932827957812966,7282873.8781644424933078,17.3662548960907700,-3.9239866892814869
sun-token,97,Sun (New),SUN,9951640722.0000000000000000,,267541096.1352136368219792,37319998.7489064930051815,0.0268841192732936,-1.1808464852485770
aragon,98,Aragon,ANT,43191530.5455704200000000,,264275509.8901301393295773,3241235.2703393732346570,6.1186882370676572,-0.4564593024964252
holo,99,Holo,HOT,173776360397.9503800000000000,,260676792.5816035867742091,1598805.5124350265831840,0.0015000705043232,-3.7048257443321632
aelf,100,aelf,ELF,732789838.6591900000000000,,258382742.6871811775548699,5593717.7817009233993920,0.3526014268428622,-2.8966241187456786
